00:18.00 X=160.579 Y=139.577 Z=162.515 X=186.671 Y=321.968 Z=162.640
00:24.56 X=174.882 Y=321.839 Z=164.167 X=155.692 Y=110.441 Z=164.167
00:34.40 X=167.408 Y=123.896 Z=163.899 X=155.986 Y=-58.778 Z=163.899
00:47.86 X=153.830 Y=-51.050 Z=167.924 X=183.964 Y=356.714 Z=167.924
00:57.20 X=164.204 Y=332.701 Z=163.460 X=153.928 Y=141.001 Z=163.460
01:09.86 X=162.081 Y=146.690 Z=168.612 X=173.530 Y=549.368 Z=168.612
01:30.85 X=161.784 Y=525.343 Z=171.612 X=136.448 Y=-31.321 Z=171.612
01:39.67 X=148.351 Y=-30.673 Z=167.491 X=168.620 Y=300.355 Z=167.491
01:49.49 X=171.175 Y=318.458 Z=168.871 X=151.047 Y=-60.695 Z=168.871
01:55.07 X=155.355 Y=-50.398 Z=163.747 X=160.654 Y=174.885 Z=163.747
02:02.19 X=148.131 Y=154.921 Z=163.716 X=144.850 Y=330.818 Z=163.716
02:10.61 X=152.486 Y=328.833 Z=163.281 X=156.443 Y=500.445 Z=163.281
02:20.03 X=166.418 Y=512.917 Z=170.007 X=162.729 Y=-35.380 Z=170.007
