X=-16.351 Y=10.335 Z=166.012
X=-20.142 Y=10.905 Z=162.820
X=-23.751 Y=8.750 Z=161.175
X=-27.635 Y=3.340 Z=161.227
X=-30.856 Y=0.195 Z=162.142
X=-32.733 Y=-0.164 Z=165.897
X=-34.840 Y=2.013 Z=170.510
X=-36.702 Y=5.246 Z=173.235
X=-37.403 Y=6.441 Z=173.912
X=-37.375 Y=6.353 Z=173.997
X=-36.722 Y=6.011 Z=174.221
X=-35.933 Y=6.028 Z=174.423
X=-35.730 Y=6.120 Z=175.889
X=-36.317 Y=6.213 Z=177.438
X=-36.500 Y=6.206 Z=177.704
X=-36.240 Y=5.169 Z=177.859
X=-36.250 Y=4.128 Z=177.682
X=-37.513 Y=-0.267 Z=177.133
X=-39.397 Y=-3.844 Z=175.984
X=-40.731 Y=-5.428 Z=175.712
X=-41.515 Y=-5.899 Z=175.762
X=-40.856 Y=-5.317 Z=175.261
X=-36.412 Y=0.492 Z=171.740
X=-35.084 Y=4.083 Z=171.105
X=-34.357 Y=4.250 Z=170.413
X=-33.825 Y=3.524 Z=170.089
X=-34.315 Y=-1.320 Z=170.811
X=-35.795 Y=-4.618 Z=171.662
X=-36.792 Y=-5.986 Z=172.182
X=-36.944 Y=-6.313 Z=172.354
X=-35.859 Y=-4.957 Z=171.727
X=-33.369 Y=1.416 Z=167.579
X=-32.925 Y=5.522 Z=166.658
X=-32.455 Y=5.722 Z=167.365
X=-32.636 Y=1.953 Z=170.076
X=-33.822 Y=-0.871 Z=172.165
X=-34.673 Y=-2.336 Z=172.919
X=-37.171 Y=-5.556 Z=173.826
X=-40.793 Y=-6.477 Z=174.974
X=-42.887 Y=-6.505 Z=175.437
X=-43.707 Y=-6.616 Z=175.291
X=-43.844 Y=-6.821 Z=174.663
X=-43.584 Y=-7.320 Z=173.661
X=-42.909 Y=-7.557 Z=173.507
X=-41.845 Y=-7.608 Z=174.125
X=-41.488 Y=-7.588 Z=174.655
X=-40.767 Y=-7.439 Z=175.326
X=-39.660 Y=-6.524 Z=176.386
X=-36.656 Y=-2.197 Z=178.308
X=-35.559 Y=1.119 Z=178.812
X=-35.896 Y=0.152 Z=178.260
X=-39.886 Y=-4.989 Z=176.746
X=-42.401 Y=-7.728 Z=175.470
X=-43.985 Y=-9.570 Z=173.848
X=-44.566 Y=-10.660 Z=173.014
X=-44.581 Y=-11.109 Z=172.940
X=-44.388 Y=-11.299 Z=173.033
X=-44.327 Y=-11.419 Z=173.086
X=-42.698 Y=-11.206 Z=172.801
X=-40.060 Y=-10.083 Z=172.074
X=-38.229 Y=-9.043 Z=172.128
X=-37.081 Y=-8.235 Z=172.023
X=-36.439 Y=-7.915 Z=171.981
X=-36.072 Y=-7.876 Z=171.833
X=-35.759 Y=-8.215 Z=171.758
X=-35.188 Y=-10.793 Z=171.198
X=-34.652 Y=-15.282 Z=170.416
X=-32.059 Y=-19.706 Z=169.506
X=-25.931 Y=-23.928 Z=167.491
X=-16.972 Y=-28.590 Z=163.656
X=-9.578 Y=-32.994 Z=159.651
X=-5.685 Y=-37.489 Z=155.455
X=-4.861 Y=-41.607 Z=151.589
X=-4.940 Y=-43.760 Z=149.717
X=-6.101 Y=-46.157 Z=148.914
X=-9.328 Y=-50.174 Z=148.632
X=-13.021 Y=-53.822 Z=147.618
X=-14.062 Y=-56.731 Z=145.808
X=-12.876 Y=-58.220 Z=142.507
X=-12.483 Y=-58.166 Z=140.510
X=-13.134 Y=-58.100 Z=141.021
X=-13.624 Y=-58.164 Z=141.075
X=-13.806 Y=-58.577 Z=140.993
X=-13.824 Y=-59.048 Z=141.023
X=-13.861 Y=-59.301 Z=141.023
X=-13.804 Y=-59.375 Z=141.098
X=-13.703 Y=-59.380 Z=141.195
X=-13.404 Y=-59.061 Z=141.423
X=-12.869 Y=-58.839 Z=140.622
X=-12.348 Y=-58.861 Z=137.649
X=-12.352 Y=-58.902 Z=135.524
X=-12.500 Y=-58.767 Z=135.311
X=-12.705 Y=-58.578 Z=135.475
X=-12.821 Y=-58.352 Z=135.461
X=-12.841 Y=-58.202 Z=135.454
X=-12.819 Y=-58.055 Z=135.446
X=-12.780 Y=-58.008 Z=135.505
X=-12.748 Y=-57.971 Z=135.531
X=-12.753 Y=-58.254 Z=135.542
X=-12.734 Y=-58.805 Z=135.544
X=-12.781 Y=-59.080 Z=135.473
X=-12.779 Y=-59.119 Z=135.397
X=-12.791 Y=-59.135 Z=135.343
X=-12.793 Y=-59.153 Z=135.309
X=-12.776 Y=-59.155 Z=135.266
X=-12.800 Y=-59.142 Z=135.248
X=-12.813 Y=-59.132 Z=135.233
X=-12.819 Y=-59.125 Z=135.217
X=-12.850 Y=-59.067 Z=135.232
X=-12.960 Y=-58.905 Z=135.325
X=-13.260 Y=-58.715 Z=135.466
X=-13.454 Y=-58.521 Z=135.643
X=-13.454 Y=-58.521 Z=135.643
X=-13.527 Y=-58.480 Z=135.684
X=-13.527 Y=-58.480 Z=135.684
X=-13.677 Y=-58.512 Z=135.785
X=-13.807 Y=-58.758 Z=135.806
X=-13.807 Y=-58.758 Z=135.806
X=-13.901 Y=-58.844 Z=135.860
X=-13.901 Y=-58.844 Z=135.860
X=-13.912 Y=-58.797 Z=135.869
X=-13.908 Y=-58.649 Z=135.845
X=-13.908 Y=-58.649 Z=135.845
X=-13.920 Y=-58.348 Z=135.859
X=-13.920 Y=-58.348 Z=135.859
X=-13.964 Y=-57.991 Z=135.831
X=-14.118 Y=-57.609 Z=135.971
X=-14.118 Y=-57.609 Z=135.971
X=-14.454 Y=-57.292 Z=136.170
X=-14.454 Y=-57.292 Z=136.170
X=-14.993 Y=-57.268 Z=136.193
X=-15.484 Y=-57.332 Z=136.518
X=-15.484 Y=-57.332 Z=136.518
