X=-6.183 Y=8.391 Z=145.658
X=-4.699 Y=9.941 Z=142.192
X=-3.355 Y=8.476 Z=140.723
X=-4.540 Y=7.611 Z=143.424
X=-7.448 Y=5.203 Z=149.665
X=-11.787 Y=1.907 Z=153.342
X=-17.059 Y=-5.407 Z=156.404
X=-21.094 Y=-12.359 Z=158.001
X=-24.800 Y=-15.867 Z=156.211
X=-27.188 Y=-14.014 Z=154.195
X=-28.077 Y=-9.213 Z=154.348
X=-27.258 Y=-4.666 Z=151.685
X=-26.015 Y=-3.054 Z=151.818
X=-25.489 Y=-3.249 Z=152.165
X=-25.347 Y=-4.228 Z=152.188
X=-25.344 Y=-5.291 Z=152.253
X=-25.569 Y=-5.627 Z=152.401
X=-25.619 Y=-5.492 Z=152.468
X=-25.484 Y=-5.014 Z=152.459
X=-25.559 Y=-4.511 Z=152.518
X=-25.026 Y=-3.920 Z=152.474
X=-19.108 Y=-1.770 Z=153.259
X=-13.464 Y=3.901 Z=154.943
X=-10.153 Y=9.332 Z=155.072
X=-8.627 Y=11.105 Z=154.963
X=-7.988 Y=9.293 Z=154.419
X=-8.013 Y=1.775 Z=154.700
X=-7.767 Y=-7.656 Z=153.803
X=-7.187 Y=-12.853 Z=153.648
X=-5.920 Y=-14.986 Z=152.636
X=-4.807 Y=-13.696 Z=152.563
X=-2.108 Y=-10.468 Z=153.549
X=2.211 Y=-9.099 Z=152.879
X=6.315 Y=-9.808 Z=152.361
X=11.720 Y=-13.697 Z=152.236
X=17.751 Y=-18.307 Z=152.148
X=21.813 Y=-21.671 Z=151.526
X=24.917 Y=-23.538 Z=150.842
X=24.830 Y=-23.306 Z=150.599
X=17.938 Y=-19.049 Z=152.625
X=9.311 Y=-12.284 Z=154.243
X=-0.908 Y=-4.334 Z=155.070
X=-8.620 Y=-3.121 Z=156.110
X=-11.700 Y=-6.427 Z=156.504
X=-12.590 Y=-9.686 Z=155.161
X=-13.620 Y=-11.558 Z=152.155
X=-13.567 Y=-11.331 Z=152.356
X=-13.402 Y=-9.945 Z=153.491
X=-13.555 Y=-8.620 Z=153.817
X=-14.033 Y=-7.187 Z=154.003
X=-14.283 Y=-5.734 Z=154.051
X=-14.207 Y=-4.839 Z=154.121
X=-13.544 Y=-4.396 Z=154.094
X=-11.022 Y=-4.304 Z=153.849
X=-5.493 Y=-7.406 Z=153.201
X=-2.474 Y=-10.652 Z=153.065
X=-1.701 Y=-13.083 Z=151.673
X=-0.840 Y=-16.065 Z=150.254
X=1.791 Y=-19.431 Z=149.939
X=6.425 Y=-22.228 Z=149.516
X=8.531 Y=-23.847 Z=149.006
X=8.522 Y=-24.571 Z=149.061
X=7.768 Y=-24.456 Z=149.327
X=7.041 Y=-24.243 Z=149.537
X=3.854 Y=-23.821 Z=150.101
X=-0.050 Y=-21.866 Z=151.066
X=-4.392 Y=-23.236 Z=152.161
X=-8.397 Y=-27.028 Z=154.305
X=-9.718 Y=-30.779 Z=155.998
X=-10.657 Y=-34.272 Z=157.439
X=-8.538 Y=-35.354 Z=158.083
X=-6.466 Y=-33.698 Z=156.924
