X=151.124 Y=124.804 Z=176.312
X=154.936 Y=124.051 Z=172.929
X=158.577 Y=126.006 Z=171.223
X=162.389 Y=131.357 Z=171.244
X=165.717 Y=134.758 Z=172.031
X=167.658 Y=135.206 Z=175.585
X=169.730 Y=133.207 Z=180.234
X=171.635 Y=129.916 Z=183.194
X=172.381 Y=128.557 Z=183.878
X=172.380 Y=128.627 Z=183.994
X=171.774 Y=128.984 Z=184.201
X=170.973 Y=128.973 Z=184.402
X=170.710 Y=128.886 Z=185.748
X=171.299 Y=128.791 Z=187.382
X=171.509 Y=128.792 Z=187.707
X=171.250 Y=129.778 Z=187.863
X=171.248 Y=130.800 Z=187.687
X=172.419 Y=134.988 Z=187.223
X=174.310 Y=138.716 Z=186.022
X=175.680 Y=140.387 Z=185.727
X=176.490 Y=140.889 Z=185.769
X=176.044 Y=140.463 Z=185.356
X=171.566 Y=134.854 Z=181.821
X=170.130 Y=130.992 Z=181.129
X=169.381 Y=130.745 Z=180.435
X=168.857 Y=131.390 Z=180.091
X=169.238 Y=136.123 Z=180.756
X=170.711 Y=139.489 Z=181.631
X=171.751 Y=140.916 Z=182.150
X=171.924 Y=141.303 Z=182.362
X=170.984 Y=140.133 Z=181.847
X=168.463 Y=133.968 Z=177.753
X=167.941 Y=129.568 Z=176.648
X=167.468 Y=129.144 Z=177.228
X=167.581 Y=132.796 Z=179.901
X=168.794 Y=135.768 Z=182.109
X=169.609 Y=137.227 Z=182.888
X=171.969 Y=140.397 Z=183.761
X=175.634 Y=141.492 Z=184.887
X=177.774 Y=141.504 Z=185.435
X=178.686 Y=141.612 Z=185.315
X=178.853 Y=141.793 Z=184.730
X=178.618 Y=142.297 Z=183.690
X=177.957 Y=142.548 Z=183.470
X=176.886 Y=142.610 Z=184.099
X=176.524 Y=142.595 Z=184.629
X=175.778 Y=142.438 Z=185.322
X=174.789 Y=141.654 Z=186.250
X=171.740 Y=137.462 Z=188.260
X=170.557 Y=133.982 Z=188.812
X=170.829 Y=134.492 Z=188.371
X=174.659 Y=139.739 Z=186.830
X=177.323 Y=142.645 Z=185.526
X=178.927 Y=144.484 Z=183.959
X=179.549 Y=145.627 Z=183.026
X=179.581 Y=146.087 Z=182.946
X=164.919 Y=463.038 Z=183.153
X=164.872 Y=463.174 Z=183.196
X=163.343 Y=462.975 Z=182.945
X=160.690 Y=461.869 Z=182.156
X=158.834 Y=460.836 Z=182.272
X=157.653 Y=460.039 Z=182.161
X=156.992 Y=459.678 Z=182.100
X=156.611 Y=459.626 Z=181.964
X=156.319 Y=459.896 Z=181.889
X=155.745 Y=462.349 Z=181.380
X=155.242 Y=466.736 Z=180.591
X=152.849 Y=471.220 Z=179.705
X=146.890 Y=475.413 Z=177.769
X=138.036 Y=480.098 Z=174.015
X=130.422 Y=484.494 Z=170.001
X=126.364 Y=489.011 Z=165.792
X=125.374 Y=493.134 Z=161.923
X=125.460 Y=495.441 Z=159.909
X=126.529 Y=497.683 Z=159.087
X=129.601 Y=501.739 Z=158.803
X=133.392 Y=505.379 Z=157.798
X=134.641 Y=508.317 Z=156.082
X=133.466 Y=509.949 Z=152.838
X=132.999 Y=509.939 Z=150.645
X=133.630 Y=509.847 Z=151.107
X=134.141 Y=509.910 Z=151.208
X=134.333 Y=510.297 Z=151.121
X=134.354 Y=510.768 Z=151.148
X=134.392 Y=511.040 Z=151.149
X=134.342 Y=511.126 Z=151.219
X=134.246 Y=511.135 Z=151.313
X=133.973 Y=510.836 Z=151.524
X=133.431 Y=510.589 Z=150.865
X=132.904 Y=510.603 Z=147.962
X=132.869 Y=510.649 Z=145.715
X=133.030 Y=510.531 Z=145.435
X=133.225 Y=510.342 Z=145.602
X=133.353 Y=510.108 Z=145.587
X=133.372 Y=509.960 Z=145.586
X=133.355 Y=509.806 Z=145.570
X=133.314 Y=509.756 Z=145.624
X=133.282 Y=509.718 Z=145.658
X=133.278 Y=509.957 Z=145.671
X=133.264 Y=510.528 Z=145.669
X=133.311 Y=510.827 Z=145.604
X=133.311 Y=510.867 Z=145.519
X=133.322 Y=510.883 Z=145.469
X=133.329 Y=510.904 Z=145.438
X=133.309 Y=510.904 Z=145.393
X=133.331 Y=510.892 Z=145.372
