X=141.472 Y=126.909 Z=156.144
X=139.858 Y=125.105 Z=152.331
X=138.322 Y=126.248 Z=150.822
X=139.315 Y=127.403 Z=152.831
X=141.936 Y=129.689 Z=159.113
X=146.153 Y=132.319 Z=162.966
X=151.504 Y=139.522 Z=166.145
X=155.693 Y=146.642 Z=167.963
X=159.346 Y=150.686 Z=166.538
X=162.103 Y=149.489 Z=164.254
X=162.998 Y=144.839 Z=164.527
X=162.439 Y=140.018 Z=161.918
X=161.065 Y=138.140 Z=161.787
X=160.514 Y=138.183 Z=162.199
X=160.398 Y=139.086 Z=162.210
X=160.331 Y=140.177 Z=162.244
X=160.551 Y=140.638 Z=162.392
X=160.628 Y=140.533 Z=162.465
X=160.490 Y=140.049 Z=162.469
X=186.671 Y=321.968 Z=162.640
X=186.293 Y=321.392 Z=162.604
X=181.091 Y=319.656 Z=163.212
X=175.040 Y=314.178 Z=164.928
X=171.553 Y=308.513 Z=165.200
X=169.841 Y=306.335 Z=165.148
X=169.125 Y=307.609 Z=164.579
X=169.138 Y=314.453 Z=164.867
X=168.890 Y=324.084 Z=163.991
X=168.410 Y=329.814 Z=163.796
X=167.134 Y=332.338 Z=162.921
X=166.039 Y=331.360 Z=162.602
X=163.585 Y=328.203 Z=163.710
X=159.384 Y=326.466 Z=162.984
X=155.238 Y=327.009 Z=162.556
X=150.061 Y=330.520 Z=162.313
X=143.991 Y=335.267 Z=162.264
X=139.658 Y=338.737 Z=161.719
X=136.456 Y=340.778 Z=161.076
X=135.941 Y=340.903 Z=160.710
X=142.208 Y=337.059 Z=162.504
X=150.798 Y=330.616 Z=164.300
X=160.857 Y=322.370 Z=165.067
X=169.084 Y=320.290 Z=166.124
X=172.638 Y=323.385 Z=166.542
X=173.540 Y=326.773 Z=165.444
X=174.608 Y=328.825 Z=162.516
X=174.741 Y=328.904 Z=162.337
X=174.514 Y=327.396 Z=163.559
X=174.565 Y=326.113 Z=163.920
X=175.072 Y=324.789 Z=164.131
X=175.398 Y=323.326 Z=164.158
X=175.325 Y=322.364 Z=164.234
