X=2.716 Y=46.776 Z=163.429
X=2.465 Y=44.832 Z=163.777
X=0.169 Y=38.555 Z=164.085
X=-5.702 Y=22.850 Z=164.090
X=-9.952 Y=10.671 Z=166.508
X=-13.886 Y=4.851 Z=170.207
X=-14.719 Y=4.843 Z=167.443
X=-13.314 Y=8.274 Z=160.444
X=-11.136 Y=10.670 Z=161.784
X=-12.257 Y=8.893 Z=169.130
X=-15.392 Y=6.497 Z=173.008
X=-18.656 Y=6.051 Z=176.572
X=-20.355 Y=6.466 Z=177.683
X=-21.206 Y=7.159 Z=177.927
X=-21.344 Y=6.975 Z=177.058
X=-19.910 Y=6.804 Z=173.170
X=-18.852 Y=7.708 Z=169.325
X=-18.710 Y=7.911 Z=169.010
X=-19.111 Y=7.823 Z=168.962
X=-19.582 Y=7.796 Z=168.889
X=-19.279 Y=7.881 Z=168.772
X=-16.763 Y=4.704 Z=168.556
X=-11.993 Y=-1.845 Z=167.309
X=-6.055 Y=-8.795 Z=167.806
X=-1.591 Y=-11.582 Z=167.723
X=1.326 Y=-10.389 Z=166.652
X=3.992 Y=-8.044 Z=164.427
X=6.102 Y=-5.824 Z=162.820
X=6.592 Y=-2.661 Z=162.143
X=6.523 Y=0.284 Z=162.017
X=7.052 Y=0.600 Z=161.921
X=7.911 Y=-1.294 Z=162.381
X=8.374 Y=-2.608 Z=163.013
X=8.415 Y=-4.362 Z=163.656
X=8.571 Y=-7.108 Z=163.949
X=8.481 Y=-9.618 Z=164.091
X=8.375 Y=-9.985 Z=164.211
X=8.299 Y=-8.567 Z=164.249
X=7.798 Y=-5.561 Z=164.606
X=7.405 Y=-3.515 Z=164.943
X=6.897 Y=-1.789 Z=165.494
X=4.316 Y=1.039 Z=168.273
X=-0.996 Y=3.025 Z=171.622
X=-3.768 Y=3.027 Z=173.425
X=-2.352 Y=1.657 Z=174.425
X=1.247 Y=-3.289 Z=175.153
X=1.733 Y=-6.534 Z=175.736
X=0.530 Y=-8.263 Z=176.558
X=-0.492 Y=-8.722 Z=177.021
X=-0.809 Y=-7.931 Z=176.899
X=-1.200 Y=-8.042 Z=177.185
X=-1.206 Y=-8.266 Z=177.115
X=-1.671 Y=-8.313 Z=176.984
X=-1.884 Y=-8.307 Z=176.922
X=-1.926 Y=-8.853 Z=176.978
X=-1.482 Y=-8.301 Z=176.950
X=-1.260 Y=-7.374 Z=176.743
X=-1.280 Y=-7.454 Z=176.803
X=-1.377 Y=-8.635 Z=176.691
X=-1.760 Y=-8.909 Z=176.764
X=-2.412 Y=-9.852 Z=176.933
X=-3.129 Y=-9.882 Z=177.202
X=-4.033 Y=-9.909 Z=177.498
X=-4.942 Y=-9.158 Z=178.373
X=-6.593 Y=-8.115 Z=179.634
X=-8.378 Y=-7.501 Z=180.800
X=-8.288 Y=-7.770 Z=180.908
X=-5.883 Y=-9.423 Z=180.005
X=-3.734 Y=-10.510 Z=178.763
X=-3.104 Y=-9.555 Z=178.170
X=-2.559 Y=-7.250 Z=176.936
X=-2.905 Y=-4.582 Z=176.051
X=-2.824 Y=-1.806 Z=174.995
X=-1.990 Y=-1.854 Z=174.951
X=-1.397 Y=-4.920 Z=176.035
X=-1.337 Y=-7.741 Z=176.850
X=-1.943 Y=-8.379 Z=177.033
X=-1.953 Y=-8.660 Z=177.374
X=-1.542 Y=-8.577 Z=177.380
X=-1.396 Y=-8.217 Z=177.380
X=-1.451 Y=-7.896 Z=177.252
X=-1.364 Y=-7.777 Z=177.255
X=-1.360 Y=-7.846 Z=177.251
X=-1.272 Y=-8.286 Z=177.308
X=-1.236 Y=-8.715 Z=177.338
X=-1.386 Y=-9.106 Z=177.393
X=-1.899 Y=-9.070 Z=177.358
X=-2.283 Y=-8.741 Z=177.233
X=-2.949 Y=-8.207 Z=177.033
X=-3.157 Y=-7.858 Z=177.236
X=-3.079 Y=-7.779 Z=177.285
X=-2.264 Y=-7.799 Z=177.387
X=-1.582 Y=-7.673 Z=177.502
X=-0.322 Y=-7.902 Z=176.742
X=0.355 Y=-7.977 Z=176.440
X=0.559 Y=-7.215 Z=176.018
X=0.716 Y=-7.178 Z=175.986
X=1.210 Y=-6.904 Z=175.703
X=1.743 Y=-7.901 Z=175.247
X=1.319 Y=-7.578 Z=175.281
X=1.043 Y=-7.263 Z=175.315
X=0.523 Y=-7.300 Z=175.361
X=0.349 Y=-7.202 Z=175.206
X=0.308 Y=-6.964 Z=175.056
X=0.280 Y=-6.852 Z=175.075
X=0.492 Y=-6.919 Z=175.184
X=0.667 Y=-7.560 Z=175.607
X=1.125 Y=-6.824 Z=175.591
X=1.238 Y=-5.808 Z=175.518
X=0.976 Y=-6.075 Z=175.524
X=0.629 Y=-6.323 Z=175.617
X=0.272 Y=-7.166 Z=175.693
X=0.140 Y=-7.663 Z=175.530
X=0.143 Y=-8.240 Z=175.487
X=0.109 Y=-9.276 Z=175.543
X=0.491 Y=-9.843 Z=175.785
X=0.625 Y=-9.402 Z=175.906
X=0.646 Y=-9.343 Z=175.956
X=0.757 Y=-8.946 Z=175.805
X=1.928 Y=-7.045 Z=174.524
X=2.772 Y=-2.530 Z=170.501
X=-1.381 Y=4.641 Z=170.451
X=-3.650 Y=4.851 Z=171.319
X=-4.335 Y=4.738 Z=171.338
X=0.797 Y=3.352 Z=166.317
X=6.540 Y=1.529 Z=160.814
X=10.563 Y=-0.462 Z=156.601
X=11.797 Y=-1.427 Z=153.930
X=11.614 Y=-1.613 Z=153.539
X=10.472 Y=-0.800 Z=153.487
X=9.483 Y=1.455 Z=152.965
X=8.574 Y=3.721 Z=152.548
X=7.668 Y=5.041 Z=152.569
X=5.107 Y=5.577 Z=152.717
X=-0.352 Y=3.230 Z=152.740
X=-11.046 Y=-5.742 Z=151.444
X=-26.979 Y=-21.239 Z=151.181
X=-39.910 Y=-31.281 Z=156.102
X=-48.620 Y=-34.871 Z=159.450
X=-54.119 Y=-35.131 Z=161.336
X=-58.706 Y=-35.532 Z=161.949
X=-61.213 Y=-35.918 Z=162.244
X=-62.507 Y=-36.266 Z=162.720
X=-63.402 Y=-36.838 Z=164.610
X=-63.523 Y=-37.686 Z=166.932
X=-61.444 Y=-39.175 Z=167.500
X=-58.161 Y=-41.106 Z=167.475
X=-54.543 Y=-41.254 Z=167.199
X=-50.747 Y=-38.766 Z=164.132
X=-48.402 Y=-29.913 Z=160.601
X=-47.759 Y=-9.563 Z=161.372
X=-47.232 Y=10.782 Z=165.932
X=-47.305 Y=21.027 Z=167.433
X=-48.209 Y=25.477 Z=167.598
X=-48.855 Y=27.391 Z=167.903
X=-49.270 Y=28.934 Z=168.258
X=-49.303 Y=29.754 Z=168.255
X=-48.562 Y=29.075 Z=169.945
X=-47.939 Y=28.016 Z=170.507
X=-47.186 Y=28.325 Z=167.586
X=-46.275 Y=28.989 Z=164.481
X=-46.080 Y=30.544 Z=162.994
X=-46.370 Y=31.340 Z=162.801
X=-46.555 Y=30.812 Z=162.746
X=-46.470 Y=29.544 Z=162.720
X=-47.411 Y=30.192 Z=163.404
