X=132.284 Y=468.224 Z=173.429
X=132.413 Y=469.746 Z=173.697
X=134.472 Y=475.445 Z=174.086
X=140.104 Y=490.417 Z=173.965
X=144.726 Y=503.794 Z=176.312
X=148.538 Y=509.847 Z=180.106
X=149.741 Y=510.295 Z=177.843
X=148.628 Y=507.091 Z=170.955
X=146.290 Y=504.435 Z=171.044
X=146.802 Y=505.832 Z=178.585
X=150.055 Y=508.417 Z=182.539
X=153.365 Y=509.016 Z=186.302
X=155.202 Y=508.565 Z=187.566
X=156.104 Y=507.888 Z=187.931
X=156.451 Y=508.001 Z=187.282
X=155.040 Y=508.131 Z=183.824
X=153.915 Y=507.281 Z=179.406
X=153.701 Y=507.072 Z=179.112
X=154.023 Y=507.172 Z=178.966
X=154.571 Y=507.194 Z=178.888
X=154.331 Y=507.069 Z=178.876
X=152.220 Y=509.720 Z=178.548
X=147.598 Y=515.960 Z=177.329
X=141.677 Y=523.222 Z=177.749
X=136.989 Y=526.501 Z=177.707
X=133.893 Y=525.717 Z=176.880
X=131.327 Y=523.280 Z=174.679
X=129.004 Y=521.189 Z=172.995
X=128.414 Y=518.001 Z=172.161
X=128.500 Y=515.071 Z=172.038
X=128.037 Y=514.304 Z=171.925
X=127.151 Y=516.140 Z=172.200
X=126.673 Y=517.464 Z=172.931
X=126.588 Y=519.094 Z=173.567
X=126.431 Y=521.742 Z=173.936
X=126.548 Y=524.472 Z=174.079
X=126.600 Y=524.978 Z=174.217
X=126.696 Y=523.878 Z=174.240
X=127.171 Y=520.907 Z=174.549
X=127.549 Y=518.626 Z=174.916
X=128.000 Y=517.113 Z=175.372
X=130.224 Y=514.306 Z=177.788
X=135.413 Y=512.058 Z=181.409
X=138.782 Y=511.977 Z=183.347
X=137.800 Y=512.988 Z=184.292
X=133.932 Y=517.698 Z=185.107
X=133.281 Y=521.294 Z=185.595
X=134.300 Y=523.158 Z=186.469
X=135.390 Y=523.775 Z=186.994
X=135.770 Y=523.046 Z=186.878
X=136.223 Y=522.878 Z=187.149
X=136.211 Y=523.260 Z=187.149
X=136.565 Y=523.310 Z=187.000
X=136.902 Y=523.234 Z=186.925
X=136.913 Y=523.814 Z=187.004
X=136.518 Y=523.468 Z=186.947
X=136.258 Y=522.345 Z=186.770
X=136.282 Y=522.425 Z=186.791
X=136.354 Y=523.485 Z=186.668
X=136.722 Y=523.842 Z=186.755
X=137.359 Y=524.804 Z=186.899
X=138.012 Y=524.869 Z=187.192
X=138.964 Y=524.888 Z=187.454
X=139.727 Y=524.244 Z=188.123
X=141.483 Y=523.252 Z=189.565
X=143.151 Y=522.642 Z=190.711
X=143.453 Y=522.692 Z=190.976
X=141.214 Y=524.170 Z=190.167
X=138.947 Y=525.516 Z=188.890
X=138.161 Y=524.694 Z=188.307
X=137.607 Y=522.564 Z=187.144
X=137.890 Y=519.866 Z=186.119
X=137.885 Y=517.029 Z=185.145
X=137.038 Y=516.604 Z=184.881
X=136.462 Y=519.512 Z=185.838
X=136.295 Y=522.475 Z=186.802
X=136.917 Y=523.331 Z=186.967
X=136.972 Y=523.653 Z=187.384
X=136.586 Y=523.645 Z=187.383
X=136.403 Y=523.283 Z=187.376
X=136.445 Y=522.886 Z=187.252
X=136.372 Y=522.777 Z=187.247
X=136.364 Y=522.840 Z=187.257
X=136.286 Y=523.245 Z=187.300
X=136.240 Y=523.699 Z=187.338
X=136.315 Y=524.079 Z=187.393
X=136.856 Y=524.084 Z=187.377
X=137.231 Y=523.735 Z=187.248
X=137.892 Y=523.294 Z=187.059
X=138.171 Y=522.968 Z=187.248
X=138.122 Y=522.783 Z=187.256
X=137.342 Y=522.777 Z=187.391
X=136.698 Y=522.689 Z=187.489
X=135.432 Y=522.711 Z=186.891
X=134.757 Y=523.041 Z=186.523
X=134.431 Y=522.295 Z=186.007
X=134.326 Y=522.197 Z=185.985
X=133.875 Y=521.917 Z=185.747
X=133.246 Y=522.908 Z=185.296
X=133.622 Y=522.785 Z=185.300
X=133.916 Y=522.234 Z=185.302
X=134.409 Y=522.316 Z=185.367
X=134.638 Y=522.245 Z=185.208
X=134.688 Y=521.974 Z=185.063
X=134.724 Y=521.850 Z=185.064
X=134.552 Y=521.883 Z=185.184
X=134.364 Y=522.505 Z=185.557
X=133.927 Y=522.005 Z=185.620
