X=-2.588 Y=-12.292 Z=154.962
X=-3.345 Y=-9.789 Z=153.529
X=-3.435 Y=-6.601 Z=153.396
X=-4.169 Y=-3.519 Z=154.844
X=-5.446 Y=-1.376 Z=157.662
X=-6.699 Y=-0.447 Z=159.506
X=-8.126 Y=-0.084 Z=161.318
X=-9.807 Y=-0.427 Z=162.663
X=-11.340 Y=-1.155 Z=164.424
X=-12.083 Y=-1.350 Z=165.055
X=-11.778 Y=-1.808 Z=163.931
X=-11.366 Y=-2.635 Z=162.746
X=-10.450 Y=-3.221 Z=160.984
X=-8.894 Y=-4.775 Z=159.555
X=-7.350 Y=-5.513 Z=158.524
X=-5.709 Y=-5.862 Z=156.440
X=-4.731 Y=-5.195 Z=155.394
X=-4.696 Y=-4.735 Z=155.222
X=-5.117 Y=-4.413 Z=155.320
X=-5.823 Y=-3.405 Z=155.316
X=-6.588 Y=-2.635 Z=155.163
X=-7.520 Y=-1.450 Z=155.324
X=-8.111 Y=-0.261 Z=155.804
X=-8.615 Y=0.869 Z=156.023
X=-9.318 Y=2.149 Z=155.666
X=-9.928 Y=4.382 Z=154.307
X=-9.775 Y=6.519 Z=153.424
X=-9.639 Y=7.749 Z=153.066
X=-9.910 Y=7.336 Z=153.010
X=-9.945 Y=5.266 Z=153.865
X=-9.731 Y=3.328 Z=154.388
X=-9.317 Y=1.634 Z=155.109
X=-8.370 Y=-0.247 Z=154.310
X=-7.520 Y=-1.508 Z=152.869
X=-6.937 Y=-2.595 Z=153.166
X=-6.942 Y=-4.811 Z=157.939
X=-8.223 Y=-6.492 Z=160.142
X=-8.254 Y=-7.105 Z=160.126
X=-7.707 Y=-7.739 Z=159.488
X=-7.328 Y=-9.318 Z=159.163
X=-7.123 Y=-11.483 Z=158.885
X=-6.315 Y=-15.750 Z=158.316
X=-8.486 Y=-20.934 Z=157.374
X=-14.770 Y=-24.603 Z=157.492
X=-16.894 Y=-26.848 Z=156.509
X=-16.564 Y=-28.662 Z=155.759
X=-15.761 Y=-30.244 Z=154.882
X=-14.188 Y=-30.573 Z=154.922
X=-13.499 Y=-28.841 Z=156.078
X=-12.603 Y=-24.943 Z=158.142
X=-11.065 Y=-20.841 Z=159.398
X=-9.229 Y=-17.919 Z=160.133
X=-8.595 Y=-15.669 Z=160.892
X=-9.108 Y=-12.826 Z=162.390
X=-9.455 Y=-10.969 Z=162.864
X=-8.004 Y=-9.912 Z=162.397
X=-5.741 Y=-10.074 Z=161.392
X=-3.081 Y=-9.374 Z=160.451
