X=111.796 Y=-52.698 Z=177.065
X=112.625 Y=-52.923 Z=177.076
X=113.509 Y=-53.273 Z=177.187
X=114.206 Y=-53.450 Z=177.457
X=114.279 Y=-53.605 Z=177.552
X=114.234 Y=-53.734 Z=177.552
X=114.137 Y=-53.742 Z=177.565
X=114.029 Y=-53.731 Z=177.607
X=113.836 Y=-53.758 Z=177.577
X=113.569 Y=-53.757 Z=177.617
X=113.176 Y=-53.791 Z=177.422
X=113.005 Y=-53.633 Z=177.465
X=112.817 Y=-53.217 Z=177.405
X=112.622 Y=-52.731 Z=177.414
X=112.634 Y=-52.674 Z=177.444
X=112.822 Y=-52.688 Z=177.593
X=113.083 Y=-52.832 Z=177.792
X=113.227 Y=-52.987 Z=177.886
X=113.312 Y=-53.003 Z=177.930
X=113.400 Y=-53.038 Z=177.916
X=113.581 Y=-53.084 Z=177.956
X=113.655 Y=-53.084 Z=177.972
X=113.698 Y=-53.151 Z=178.005
X=113.780 Y=-53.178 Z=178.025
X=113.916 Y=-53.203 Z=178.091
X=114.089 Y=-53.249 Z=178.155
X=114.216 Y=-53.371 Z=178.199
X=114.300 Y=-53.376 Z=178.172
X=114.349 Y=-53.392 Z=178.156
X=114.384 Y=-53.457 Z=178.159
X=114.427 Y=-53.577 Z=178.194
X=114.456 Y=-53.740 Z=178.194
X=114.446 Y=-53.902 Z=178.206
X=114.236 Y=-54.611 Z=178.200
X=113.666 Y=-56.069 Z=177.833
X=113.196 Y=-58.451 Z=177.694
X=112.376 Y=-60.722 Z=177.464
X=112.633 Y=-61.749 Z=177.290
X=113.509 Y=-61.903 Z=177.249
X=115.611 Y=-61.855 Z=177.267
X=118.949 Y=-61.355 Z=177.669
X=123.028 Y=-59.988 Z=178.057
X=127.202 Y=-58.254 Z=178.436
X=131.125 Y=-57.026 Z=178.184
X=134.083 Y=-56.032 Z=178.187
X=135.579 Y=-55.721 Z=177.840
X=136.016 Y=-55.825 Z=177.971
X=135.743 Y=-56.394 Z=178.059
X=135.010 Y=-56.484 Z=178.170
X=134.233 Y=-56.608 Z=178.177
X=133.540 Y=-56.543 Z=178.283
X=132.013 Y=-56.430 Z=178.255
X=128.752 Y=-56.698 Z=178.538
X=122.880 Y=-58.474 Z=178.858
X=116.638 Y=-59.815 Z=178.617
X=112.768 Y=-59.708 Z=178.790
X=112.948 Y=-59.109 Z=178.934
X=112.683 Y=-59.867 Z=178.496
X=115.387 Y=-60.155 Z=177.033
X=120.467 Y=-59.996 Z=177.317
X=130.176 Y=-58.463 Z=177.932
X=143.388 Y=-58.960 Z=178.042
X=154.056 Y=-62.936 Z=179.885
X=159.660 Y=-67.646 Z=182.157
X=161.893 Y=-71.087 Z=182.977
X=162.319 Y=-73.353 Z=183.304
X=163.487 Y=-73.615 Z=183.711
X=165.960 Y=-71.895 Z=184.399
X=168.889 Y=-69.719 Z=184.915
X=171.633 Y=-68.728 Z=185.625
X=174.123 Y=-68.100 Z=185.768
X=175.574 Y=-67.472 Z=185.581
X=175.818 Y=-67.211 Z=185.575
X=175.915 Y=-66.792 Z=185.511
X=175.998 Y=-66.397 Z=185.518
X=176.160 Y=-66.104 Z=185.498
X=176.223 Y=-66.013 Z=185.492
X=176.253 Y=-65.864 Z=185.434
X=176.266 Y=-65.880 Z=185.399
X=176.321 Y=-65.927 Z=185.396
X=176.339 Y=-66.074 Z=185.403
X=176.297 Y=-66.125 Z=185.398
X=176.284 Y=-66.107 Z=185.406
X=176.228 Y=-65.981 Z=185.435
X=176.135 Y=-65.937 Z=185.500
X=175.978 Y=-65.902 Z=185.553
X=175.884 Y=-65.920 Z=185.582
X=175.871 Y=-66.205 Z=185.578
X=175.810 Y=-66.569 Z=185.601
X=175.689 Y=-66.893 Z=185.654
X=175.013 Y=-67.267 Z=185.800
X=173.759 Y=-67.275 Z=185.587
X=172.566 Y=-65.442 Z=184.901
X=172.141 Y=-60.010 Z=184.273
X=172.576 Y=-52.949 Z=183.807
X=172.415 Y=-48.534 Z=184.450
X=172.678 Y=-46.987 Z=185.023
X=173.078 Y=-47.062 Z=185.461
X=173.206 Y=-47.649 Z=185.683
X=173.131 Y=-47.962 Z=185.669
X=173.027 Y=-48.141 Z=185.585
X=172.719 Y=-48.116 Z=185.561
X=171.902 Y=-47.387 Z=185.573
X=171.209 Y=-46.242 Z=185.611
X=170.907 Y=-44.769 Z=185.619
X=170.659 Y=-43.707 Z=185.610
X=170.522 Y=-43.210 Z=185.641
X=170.453 Y=-42.890 Z=185.657
X=170.414 Y=-42.904 Z=185.650
X=170.350 Y=-42.845 Z=185.686
X=170.243 Y=-42.505 Z=185.732
X=169.919 Y=-42.220 Z=185.765
X=169.476 Y=-41.943 Z=185.826
X=169.082 Y=-41.800 Z=185.872
X=168.963 Y=-41.731 Z=185.817
X=169.006 Y=-41.706 Z=185.808
X=169.141 Y=-41.703 Z=185.761
X=169.490 Y=-41.664 Z=185.763
X=169.836 Y=-41.641 Z=185.823
