X=-9.361 Y=0.315 Z=154.956
X=-11.903 Y=2.291 Z=156.206
X=-13.340 Y=3.648 Z=157.466
X=-13.928 Y=4.439 Z=158.218
X=-14.234 Y=4.772 Z=158.470
X=-14.511 Y=4.861 Z=158.646
X=-14.538 Y=4.720 Z=158.687
X=-14.430 Y=4.221 Z=157.668
X=-14.395 Y=3.952 Z=157.409
X=-14.332 Y=3.884 Z=157.363
X=-14.313 Y=3.877 Z=157.789
X=-14.471 Y=3.888 Z=158.285
X=-14.644 Y=3.520 Z=159.445
X=-14.659 Y=3.154 Z=160.199
X=-14.578 Y=3.024 Z=160.444
X=-14.630 Y=3.032 Z=160.446
X=-14.822 Y=3.363 Z=160.086
X=-14.858 Y=3.732 Z=159.598
X=-14.741 Y=4.063 Z=158.595
X=-14.776 Y=4.521 Z=157.600
X=-14.670 Y=4.810 Z=157.536
X=-14.586 Y=4.790 Z=157.499
X=-14.494 Y=4.715 Z=157.410
X=-13.626 Y=4.761 Z=157.018
X=-11.412 Y=8.553 Z=156.628
X=-7.696 Y=16.966 Z=155.585
X=-3.904 Y=26.564 Z=156.317
X=-0.378 Y=35.089 Z=157.000
X=1.855 Y=37.091 Z=156.618
X=5.459 Y=33.831 Z=155.783
X=8.319 Y=27.708 Z=153.908
X=9.430 Y=23.502 Z=152.621
X=9.952 Y=19.901 Z=151.831
X=8.367 Y=14.930 Z=151.688
X=7.115 Y=9.108 Z=151.640
X=6.195 Y=3.012 Z=151.684
X=5.332 Y=-0.636 Z=150.888
X=4.705 Y=-1.313 Z=150.863
X=3.806 Y=-0.266 Z=150.976
X=3.758 Y=1.235 Z=151.195
X=3.344 Y=0.936 Z=154.622
X=0.899 Y=-1.369 Z=157.368
X=-0.875 Y=-1.780 Z=158.327
X=-1.342 Y=-1.400 Z=158.417
X=-0.625 Y=-0.107 Z=157.761
X=3.145 Y=3.374 Z=154.729
X=5.283 Y=7.039 Z=152.861
X=6.316 Y=9.755 Z=151.975
X=6.332 Y=11.059 Z=151.752
X=5.814 Y=11.399 Z=151.827
X=5.032 Y=10.989 Z=152.229
X=4.240 Y=10.038 Z=153.306
X=3.653 Y=9.384 Z=154.288
X=3.072 Y=9.575 Z=154.465
X=2.768 Y=10.762 Z=154.566
X=3.377 Y=11.488 Z=153.711
X=3.977 Y=13.091 Z=152.264
X=4.334 Y=14.657 Z=151.272
X=4.720 Y=15.243 Z=150.040
X=5.163 Y=15.245 Z=149.431
X=5.249 Y=13.915 Z=148.711
X=4.892 Y=10.351 Z=148.480
X=5.336 Y=6.241 Z=148.583
X=6.253 Y=2.442 Z=148.844
X=6.708 Y=-0.516 Z=149.977
X=6.805 Y=-2.600 Z=150.920
X=6.781 Y=-4.511 Z=151.210
X=6.663 Y=-5.610 Z=151.137
X=6.379 Y=-5.690 Z=149.965
X=6.755 Y=-5.091 Z=148.003
X=8.194 Y=-5.020 Z=147.295
X=9.052 Y=-5.659 Z=145.138
X=8.931 Y=-6.601 Z=143.151
X=9.223 Y=-7.512 Z=141.640
X=10.091 Y=-8.691 Z=141.014
X=9.714 Y=-9.439 Z=140.781
X=8.101 Y=-9.407 Z=143.785
X=6.697 Y=-9.196 Z=146.365
X=6.076 Y=-9.599 Z=147.876
X=6.718 Y=-9.919 Z=149.172
X=7.692 Y=-10.258 Z=150.043
X=8.619 Y=-10.394 Z=150.711
X=8.633 Y=-9.520 Z=151.230
X=5.695 Y=-7.361 Z=153.255
X=1.916 Y=-5.019 Z=156.078
X=-0.290 Y=0.735 Z=157.451
X=-0.409 Y=8.043 Z=158.680
X=-3.758 Y=10.619 Z=159.748
X=-10.937 Y=8.525 Z=159.763
X=-17.914 Y=3.252 Z=157.450
