X=110.603 Y=10.490 Z=150.519
X=106.230 Y=12.189 Z=151.837
X=95.612 Y=10.945 Z=155.363
X=81.104 Y=4.712 Z=157.306
X=67.710 Y=-2.851 Z=158.737
X=58.356 Y=-6.687 Z=161.100
X=50.651 Y=-9.297 Z=162.692
X=42.824 Y=-9.119 Z=163.602
X=35.627 Y=-6.712 Z=164.754
X=29.406 Y=-3.382 Z=164.572
X=24.820 Y=-2.432 Z=165.240
X=20.351 Y=-4.842 Z=165.022
X=18.256 Y=-8.984 Z=164.338
X=15.989 Y=-14.992 Z=162.360
X=14.227 Y=-18.540 Z=160.988
X=12.191 Y=-16.480 Z=159.222
X=7.554 Y=-12.091 Z=157.433
X=2.822 Y=-7.974 Z=157.407
X=-0.881 Y=-5.118 Z=157.873
X=-3.477 Y=-3.438 Z=158.268
X=-5.848 Y=-2.559 Z=158.373
X=-9.127 Y=-1.950 Z=158.618
X=-12.508 Y=-1.183 Z=158.335
X=-15.905 Y=0.332 Z=157.564
X=-18.794 Y=0.098 Z=156.875
X=-20.344 Y=-3.519 Z=156.089
X=-19.735 Y=-8.359 Z=156.275
X=-17.581 Y=-12.801 Z=157.007
X=-16.594 Y=-16.362 Z=158.237
X=-16.914 Y=-17.989 Z=159.275
X=-18.949 Y=-17.797 Z=160.126
X=-22.047 Y=-17.373 Z=160.672
X=-23.220 Y=-17.710 Z=161.287
X=-24.824 Y=-17.755 Z=162.229
X=-26.461 Y=-17.211 Z=162.777
X=-27.788 Y=-15.620 Z=160.711
X=-28.676 Y=-14.157 Z=158.427
X=-28.902 Y=-13.292 Z=157.359
X=-28.591 Y=-12.873 Z=155.714
X=-28.064 Y=-12.761 Z=155.502
X=-27.122 Y=-12.891 Z=155.278
X=-23.908 Y=-14.911 Z=154.479
X=-21.628 Y=-16.788 Z=153.113
X=-20.972 Y=-17.368 Z=152.454
X=-20.804 Y=-17.591 Z=152.191
X=-21.830 Y=-16.597 Z=153.069
X=-23.913 Y=-14.937 Z=155.630
X=-26.127 Y=-13.936 Z=157.733
X=-27.675 Y=-13.896 Z=158.732
X=-28.274 Y=-13.928 Z=159.681
X=-28.848 Y=-13.802 Z=160.424
X=-30.043 Y=-13.210 Z=160.721
X=-33.928 Y=-11.842 Z=160.309
X=-35.828 Y=-10.424 Z=159.705
X=-34.837 Y=-8.789 Z=158.972
X=-30.636 Y=-8.446 Z=157.088
X=-25.480 Y=-9.969 Z=156.676
X=-20.531 Y=-11.312 Z=156.969
X=-15.455 Y=-12.432 Z=156.648
X=-15.265 Y=-15.793 Z=156.235
X=-24.940 Y=-16.115 Z=155.310
X=-37.047 Y=-12.122 Z=154.192
X=-45.820 Y=-6.382 Z=156.360
X=-52.360 Y=-2.225 Z=156.418
X=-56.206 Y=-2.135 Z=157.309
X=-58.240 Y=-2.966 Z=157.990
X=-58.622 Y=-3.914 Z=158.576
X=-58.163 Y=-5.241 Z=159.156
X=-57.701 Y=-7.148 Z=160.266
X=-58.345 Y=-8.611 Z=162.131
X=-59.295 Y=-9.426 Z=162.590
X=-59.133 Y=-9.762 Z=162.686
X=-55.980 Y=-10.611 Z=160.992
X=-51.162 Y=-11.692 Z=157.551
X=-46.245 Y=-11.099 Z=155.534
X=-40.981 Y=-7.223 Z=154.401
