X=-12.113 Y=-0.858 Z=153.953
X=-14.037 Y=-1.094 Z=155.158
X=-14.637 Y=-1.073 Z=156.355
X=-14.475 Y=-0.668 Z=156.495
X=-12.300 Y=-1.519 Z=152.003
X=-10.160 Y=-2.489 Z=147.702
X=-8.256 Y=-3.208 Z=145.763
X=-6.918 Y=-4.096 Z=144.274
X=-5.409 Y=-5.010 Z=142.589
X=-4.799 Y=-5.888 Z=142.095
X=-5.531 Y=-5.625 Z=144.439
X=-6.790 Y=-4.173 Z=146.870
X=-7.831 Y=-2.204 Z=150.330
X=-8.623 Y=-0.134 Z=153.946
X=-9.329 Y=1.491 Z=156.172
X=-9.565 Y=2.058 Z=160.839
X=-10.560 Y=1.163 Z=162.797
X=-11.566 Y=-0.347 Z=164.436
X=-12.362 Y=-1.799 Z=165.060
X=-13.558 Y=-2.838 Z=165.937
X=-13.895 Y=-2.814 Z=166.071
X=-13.453 Y=-1.586 Z=165.243
X=-12.339 Y=0.917 Z=162.161
X=-11.956 Y=2.425 Z=158.953
X=-12.086 Y=3.468 Z=157.744
X=-12.510 Y=4.726 Z=157.179
X=-15.070 Y=8.250 Z=157.542
X=-17.680 Y=10.535 Z=158.016
X=-19.740 Y=10.222 Z=157.990
X=-20.499 Y=6.262 Z=158.263
X=-20.154 Y=1.423 Z=158.463
X=-19.528 Y=-2.856 Z=158.638
X=-19.945 Y=-5.250 Z=158.838
X=-21.151 Y=-5.302 Z=159.387
X=-21.446 Y=-3.248 Z=159.337
X=-20.810 Y=2.248 Z=158.874
X=-18.901 Y=12.641 Z=157.055
X=-16.838 Y=27.832 Z=155.842
X=-14.549 Y=41.062 Z=158.644
X=-11.358 Y=48.514 Z=158.840
X=-7.905 Y=49.573 Z=157.910
X=-3.866 Y=48.519 Z=156.798
X=-0.472 Y=44.816 Z=155.568
X=0.173 Y=40.938 Z=154.309
X=0.211 Y=38.483 Z=153.222
X=-0.215 Y=33.273 Z=152.029
X=-0.354 Y=26.521 Z=151.400
X=1.098 Y=18.184 Z=151.389
X=3.419 Y=12.342 Z=150.350
X=5.294 Y=10.605 Z=149.914
X=5.258 Y=10.781 Z=149.575
X=5.273 Y=13.039 Z=150.098
X=5.317 Y=15.412 Z=150.470
X=5.559 Y=15.995 Z=151.436
X=5.627 Y=15.874 Z=151.728
X=5.158 Y=13.217 Z=151.989
X=5.031 Y=8.460 Z=152.747
X=6.371 Y=3.687 Z=152.839
X=8.086 Y=-1.072 Z=152.079
X=9.219 Y=-4.205 Z=150.934
X=8.712 Y=-4.792 Z=150.815
X=7.332 Y=-3.557 Z=151.947
X=5.400 Y=-1.625 Z=153.709
X=2.406 Y=-1.245 Z=155.530
X=-1.074 Y=-1.386 Z=157.364
X=-2.933 Y=-0.769 Z=158.149
X=-3.534 Y=0.425 Z=158.283
X=-3.224 Y=1.815 Z=158.012
X=-0.673 Y=5.450 Z=156.955
X=0.910 Y=9.442 Z=155.818
X=1.351 Y=11.178 Z=153.855
X=2.088 Y=12.080 Z=152.552
X=3.254 Y=12.322 Z=151.826
X=4.846 Y=11.734 Z=151.315
X=6.168 Y=11.463 Z=150.934
X=6.289 Y=11.524 Z=150.866
X=6.353 Y=12.170 Z=151.238
X=6.101 Y=14.499 Z=152.229
X=4.362 Y=17.983 Z=154.232
X=1.084 Y=20.974 Z=156.336
X=-1.653 Y=22.478 Z=157.634
X=-2.608 Y=22.532 Z=157.925
X=-2.790 Y=22.516 Z=157.998
X=-2.146 Y=21.866 Z=157.898
X=0.637 Y=19.890 Z=157.011
X=2.975 Y=17.344 Z=155.964
X=4.548 Y=14.689 Z=155.434
X=5.148 Y=12.403 Z=154.451
X=4.756 Y=11.705 Z=152.843
X=3.752 Y=12.161 Z=152.207
X=3.188 Y=13.440 Z=151.954
X=2.465 Y=14.689 Z=151.981
X=2.148 Y=14.299 Z=152.353
X=0.264 Y=6.829 Z=154.963
X=-3.065 Y=4.029 Z=156.256
X=-5.199 Y=3.125 Z=156.782
X=-5.663 Y=3.154 Z=156.998
X=-5.555 Y=3.114 Z=157.037
X=-4.690 Y=1.809 Z=157.214
X=-3.297 Y=-2.260 Z=156.928
X=-1.126 Y=-10.659 Z=156.078
X=1.116 Y=-22.534 Z=155.463
X=3.336 Y=-34.579 Z=157.200
X=4.986 Y=-41.381 Z=157.071
X=5.240 Y=-43.653 Z=156.500
X=6.941 Y=-43.290 Z=156.024
X=9.659 Y=-39.139 Z=155.092
X=10.683 Y=-33.765 Z=153.878
X=10.830 Y=-30.558 Z=152.925
X=10.897 Y=-28.853 Z=151.625
X=9.215 Y=-25.901 Z=150.850
X=6.358 Y=-18.935 Z=150.888
X=5.343 Y=-10.909 Z=150.577
X=4.454 Y=-4.618 Z=150.327
X=3.677 Y=-1.561 Z=150.755
X=2.486 Y=-1.321 Z=151.009
X=2.185 Y=-2.015 Z=150.897
X=2.288 Y=-0.758 Z=151.045
X=2.629 Y=0.087 Z=151.370
X=2.788 Y=-0.367 Z=151.642
X=3.143 Y=-2.151 Z=151.619
X=4.022 Y=-5.968 Z=151.110
X=4.773 Y=-8.307 Z=150.573
X=4.030 Y=-6.817 Z=150.531
X=2.011 Y=0.503 Z=150.969
X=0.787 Y=8.006 Z=151.802
X=1.071 Y=11.915 Z=151.714
X=1.773 Y=12.159 Z=151.572
X=2.948 Y=10.634 Z=151.455
X=3.999 Y=9.352 Z=151.259
X=5.085 Y=8.304 Z=151.057
X=5.414 Y=8.255 Z=150.975
X=5.236 Y=9.166 Z=151.084
X=4.441 Y=11.286 Z=151.729
X=2.955 Y=13.271 Z=152.535
X=2.085 Y=14.457 Z=152.870
