X=30.831 Y=-32.543 Z=155.384
X=30.602 Y=-31.708 Z=155.153
X=30.472 Y=-31.189 Z=155.223
X=31.133 Y=-31.833 Z=155.630
X=32.630 Y=-32.979 Z=157.190
X=33.706 Y=-34.030 Z=158.766
X=37.274 Y=-34.072 Z=158.082
X=39.713 Y=-33.627 Z=158.242
X=49.619 Y=-34.604 Z=155.984
X=61.416 Y=-36.795 Z=154.224
X=72.208 Y=-36.131 Z=151.267
X=85.172 Y=-32.617 Z=148.646
X=101.868 Y=-26.668 Z=147.687
X=113.535 Y=-24.686 Z=147.568
X=118.986 Y=-24.911 Z=147.041
X=121.941 Y=-27.233 Z=146.084
X=122.258 Y=-29.327 Z=146.493
X=122.175 Y=-29.572 Z=146.918
X=120.042 Y=-27.741 Z=147.896
X=110.289 Y=-27.592 Z=150.228
X=92.565 Y=-31.928 Z=151.524
X=77.260 Y=-36.265 Z=155.121
X=63.783 Y=-37.285 Z=157.882
X=50.465 Y=-36.897 Z=160.168
X=37.166 Y=-34.625 Z=160.140
X=25.424 Y=-30.215 Z=160.516
X=13.759 Y=-24.336 Z=160.375
X=4.105 Y=-23.696 Z=159.136
X=-0.746 Y=-29.035 Z=158.080
X=-1.951 Y=-34.709 Z=157.842
X=-4.458 Y=-38.794 Z=158.762
X=-6.072 Y=-40.121 Z=159.349
X=-6.628 Y=-40.144 Z=159.013
X=-6.938 Y=-39.838 Z=158.633
X=-7.050 Y=-38.823 Z=158.175
X=-7.034 Y=-38.078 Z=158.090
X=-7.366 Y=-37.378 Z=156.837
X=-7.819 Y=-36.850 Z=156.136
X=-8.132 Y=-36.639 Z=156.174
X=-8.227 Y=-36.312 Z=157.028
X=-8.195 Y=-35.777 Z=157.470
X=-8.131 Y=-35.480 Z=157.956
X=-8.084 Y=-35.470 Z=158.111
X=-8.107 Y=-35.506 Z=158.154
X=-8.283 Y=-35.738 Z=158.459
X=-8.769 Y=-36.099 Z=158.871
X=-9.006 Y=-36.185 Z=159.605
X=-9.200 Y=-36.398 Z=159.957
X=-9.476 Y=-36.531 Z=159.977
X=-9.626 Y=-36.560 Z=159.614
X=-9.695 Y=-36.558 Z=159.540
X=-9.466 Y=-36.327 Z=159.416
X=-7.735 Y=-34.629 Z=158.545
X=-5.117 Y=-28.109 Z=157.760
X=-1.955 Y=-17.071 Z=156.687
X=0.614 Y=-5.578 Z=159.373
X=2.358 Y=1.253 Z=159.790
X=3.447 Y=4.902 Z=159.432
X=6.299 Y=5.830 Z=158.561
X=8.717 Y=4.875 Z=157.463
X=9.329 Y=4.915 Z=157.457
X=7.808 Y=4.645 Z=156.971
X=4.802 Y=1.630 Z=156.128
X=3.647 Y=-5.099 Z=154.205
X=2.336 Y=-10.881 Z=154.614
X=-0.908 Y=-14.523 Z=155.592
X=-3.680 Y=-15.697 Z=157.167
X=-4.928 Y=-16.438 Z=158.038
X=-4.695 Y=-16.845 Z=158.022
X=-2.371 Y=-14.931 Z=157.248
X=0.325 Y=-7.075 Z=155.939
X=1.948 Y=6.126 Z=154.519
X=3.527 Y=19.289 Z=156.311
X=5.272 Y=26.116 Z=156.980
X=7.051 Y=28.614 Z=157.268
X=9.651 Y=29.408 Z=156.398
X=14.106 Y=26.772 Z=154.477
X=16.523 Y=22.252 Z=151.689
X=15.288 Y=16.659 Z=148.802
X=12.410 Y=9.252 Z=147.201
X=9.836 Y=1.011 Z=147.365
X=7.014 Y=-6.254 Z=147.494
X=3.852 Y=-9.128 Z=148.877
X=1.508 Y=-8.147 Z=150.816
X=0.280 Y=-4.665 Z=152.737
X=-0.626 Y=-1.513 Z=154.178
X=-1.591 Y=-0.542 Z=154.875
X=-5.553 Y=-2.718 Z=155.193
X=-8.325 Y=-4.230 Z=155.801
X=-9.489 Y=-5.618 Z=154.189
X=-9.309 Y=-6.151 Z=152.895
X=-8.890 Y=-6.062 Z=153.351
