X=147.290 Y=310.658 Z=165.213
X=146.734 Y=310.639 Z=166.056
X=146.048 Y=311.026 Z=166.047
X=145.281 Y=312.038 Z=165.890
X=144.057 Y=313.524 Z=165.099
X=143.228 Y=315.301 Z=164.933
X=143.155 Y=316.129 Z=164.844
X=142.325 Y=317.984 Z=164.638
X=141.360 Y=322.700 Z=164.134
X=141.484 Y=324.564 Z=163.585
X=141.946 Y=322.761 Z=163.536
X=143.383 Y=314.309 Z=165.376
X=147.682 Y=309.458 Z=166.657
X=151.664 Y=307.651 Z=167.788
X=153.743 Y=309.844 Z=168.723
X=153.141 Y=313.916 Z=169.262
X=150.894 Y=317.014 Z=169.049
X=148.153 Y=318.938 Z=168.269
X=146.795 Y=318.977 Z=167.614
X=144.883 Y=317.713 Z=166.870
X=142.561 Y=313.168 Z=166.001
X=140.808 Y=304.499 Z=164.940
X=139.569 Y=292.180 Z=165.608
X=137.885 Y=282.322 Z=166.441
X=135.616 Y=98.458 Z=166.585
X=133.794 Y=96.597 Z=166.386
X=130.783 Y=96.548 Z=165.414
X=129.377 Y=97.001 Z=164.860
X=128.990 Y=97.295 Z=164.791
X=126.278 Y=102.042 Z=163.846
X=125.714 Y=107.049 Z=162.733
X=126.206 Y=109.938 Z=162.121
X=128.701 Y=114.547 Z=162.454
X=131.318 Y=119.382 Z=163.156
X=132.958 Y=125.257 Z=163.545
X=134.013 Y=133.001 Z=163.478
X=135.260 Y=140.461 Z=162.197
X=136.865 Y=144.159 Z=161.460
X=139.044 Y=146.106 Z=160.954
X=140.196 Y=145.948 Z=161.295
X=140.718 Y=143.916 Z=161.751
X=141.374 Y=141.798 Z=163.629
X=142.596 Y=140.409 Z=167.689
X=144.420 Y=139.373 Z=169.882
X=144.159 Y=138.135 Z=169.808
X=142.941 Y=138.208 Z=169.815
X=140.036 Y=139.126 Z=168.678
X=136.495 Y=141.827 Z=166.255
X=135.224 Y=143.985 Z=165.030
X=135.452 Y=145.782 Z=164.725
X=135.703 Y=145.068 Z=164.411
X=135.975 Y=143.292 Z=162.709
X=135.834 Y=141.766 Z=161.446
