00:23.84 X=163.455 Y=330.732 Z=181.047 X=179.212 Y=-49.053 Z=181.172
00:35.76 X=175.175 Y=-38.715 Z=180.962 X=180.937 Y=288.300 Z=180.962
00:52.96 X=179.638 Y=307.748 Z=174.860 X=176.265 Y=146.937 Z=174.860
01:01.12 X=161.136 Y=137.062 Z=176.416 X=194.189 Y=-35.215 Z=176.416
01:06.00 X=175.922 Y=-28.996 Z=165.129 X=175.909 Y=-29.223 Z=165.129
01:11.54 X=206.018 Y=-29.690 Z=178.308 X=74.980 Y=-24.749 Z=273.175
01:14.69 X=90.007 Y=-10.137 Z=265.412 X=205.002 Y=143.208 Z=170.545
01:30.43 X=156.463 Y=157.593 Z=178.150 X=166.295 Y=478.358 Z=178.150
01:36.17 X=167.065 Y=472.528 Z=168.062 X=189.994 Y=551.036 Z=168.062
01:38.41 X=166.527 Y=539.922 Z=165.832 X=189.944 Y=551.021 Z=165.832
01:42.21 X=270.166 Y=542.297 Z=171.683 X=189.264 Y=529.305 Z=171.683
01:56.71 X=179.116 Y=539.096 Z=181.144 X=190.033 Y=-113.974 Z=181.144
