X=-29.258 Y=-38.139 Z=169.662
X=-29.246 Y=-38.065 Z=169.647
X=-29.252 Y=-37.923 Z=169.639
X=-29.267 Y=-37.802 Z=169.639
X=-29.276 Y=-37.701 Z=169.621
X=-29.478 Y=-37.620 Z=169.937
X=-29.624 Y=-37.870 Z=173.062
X=-29.621 Y=-38.926 Z=175.831
X=-29.107 Y=-40.333 Z=177.535
X=-29.107 Y=-40.333 Z=177.535
X=-26.325 Y=-39.754 Z=177.311
X=-22.372 Y=-37.433 Z=174.961
X=-22.372 Y=-37.433 Z=174.961
X=-21.103 Y=-34.550 Z=170.264
X=-21.103 Y=-34.550 Z=170.264
X=-21.454 Y=-28.158 Z=168.898
X=-21.610 Y=-22.311 Z=169.992
X=-21.610 Y=-22.311 Z=169.992
X=-16.320 Y=-24.416 Z=172.137
X=-16.320 Y=-24.416 Z=172.137
X=-19.044 Y=-22.280 Z=175.177
X=-23.835 Y=-20.395 Z=177.713
X=-23.835 Y=-20.395 Z=177.713
X=-30.331 Y=-15.921 Z=177.232
X=-30.331 Y=-15.921 Z=177.232
X=-32.670 Y=-9.978 Z=177.201
X=-20.041 Y=-7.798 Z=177.875
X=-20.041 Y=-7.798 Z=177.875
X=-4.743 Y=-7.238 Z=178.387
X=-4.743 Y=-7.238 Z=178.387
X=4.971 Y=-8.924 Z=178.321
X=7.121 Y=-11.501 Z=178.976
X=7.121 Y=-11.501 Z=178.976
X=4.419 Y=-10.757 Z=180.254
X=4.419 Y=-10.757 Z=180.254
X=-6.142 Y=-7.830 Z=182.030
X=-12.606 Y=-9.093 Z=183.368
X=-12.606 Y=-9.093 Z=183.368
X=-14.945 Y=-9.097 Z=183.830
X=-14.945 Y=-9.097 Z=183.830
X=-17.341 Y=-10.010 Z=184.004
X=-18.602 Y=-9.606 Z=183.985
X=-18.602 Y=-9.606 Z=183.985
X=-19.425 Y=-8.981 Z=183.900
X=-19.425 Y=-8.981 Z=183.900
X=-19.415 Y=-8.640 Z=183.922
X=-19.124 Y=-8.394 Z=183.948
X=-19.124 Y=-8.394 Z=183.948
X=-18.977 Y=-8.265 Z=183.888
X=-18.977 Y=-8.265 Z=183.888
X=-18.868 Y=-8.538 Z=183.970
X=-19.041 Y=-9.180 Z=183.781
X=-19.041 Y=-9.180 Z=183.781
X=-18.913 Y=-8.845 Z=183.680
X=-18.913 Y=-8.845 Z=183.680
X=-18.736 Y=-8.346 Z=183.601
X=-18.635 Y=-8.221 Z=183.634
X=-18.635 Y=-8.221 Z=183.634
X=-18.543 Y=-8.278 Z=183.641
X=-18.543 Y=-8.278 Z=183.641
X=-18.555 Y=-8.393 Z=183.638
X=-18.318 Y=-8.431 Z=183.673
X=-18.318 Y=-8.431 Z=183.673
X=-18.346 Y=-8.612 Z=183.692
X=-18.346 Y=-8.612 Z=183.692
X=-18.180 Y=-8.113 Z=183.586
X=-18.176 Y=-7.908 Z=183.538
X=-18.176 Y=-7.908 Z=183.538
X=-18.152 Y=-7.903 Z=183.497
X=-18.152 Y=-7.903 Z=183.497
X=-18.177 Y=-8.133 Z=183.480
X=-18.374 Y=-8.678 Z=183.498
X=-18.374 Y=-8.678 Z=183.498
X=-18.474 Y=-8.897 Z=183.512
X=-18.474 Y=-8.897 Z=183.512
X=-18.588 Y=-9.162 Z=183.476
X=-18.619 Y=-9.141 Z=183.516
X=-18.619 Y=-9.141 Z=183.516
X=-18.613 Y=-9.175 Z=183.488
X=-18.613 Y=-9.175 Z=183.488
X=-18.652 Y=-9.027 Z=183.486
X=-18.712 Y=-8.986 Z=183.422
X=-18.712 Y=-8.986 Z=183.422
X=-18.765 Y=-8.995 Z=183.378
X=-18.765 Y=-8.995 Z=183.378
X=-18.843 Y=-9.004 Z=183.410
X=-18.921 Y=-8.978 Z=183.366
X=-18.921 Y=-8.978 Z=183.366
X=-18.936 Y=-8.684 Z=183.391
X=-18.936 Y=-8.684 Z=183.391
X=-18.820 Y=-8.098 Z=183.260
X=-18.486 Y=-7.564 Z=183.197
X=-18.486 Y=-7.564 Z=183.197
X=-18.356 Y=-7.198 Z=183.172
X=-18.356 Y=-7.198 Z=183.172
X=-18.292 Y=-6.710 Z=183.108
X=-18.222 Y=-6.399 Z=183.055
X=-18.222 Y=-6.399 Z=183.055
X=-18.290 Y=-6.522 Z=183.010
X=-18.290 Y=-6.522 Z=183.010
X=-18.352 Y=-6.736 Z=182.910
X=-18.352 Y=-7.117 Z=182.955
X=-18.352 Y=-7.117 Z=182.955
X=-17.100 Y=-5.943 Z=182.004
X=-17.100 Y=-5.943 Z=182.004
X=-14.365 Y=-2.141 Z=178.678
X=-13.367 Y=0.441 Z=174.911
X=-13.367 Y=0.441 Z=174.911
X=-13.161 Y=-0.539 Z=174.611
X=-13.161 Y=-0.539 Z=174.611
X=-13.080 Y=-1.331 Z=174.797
X=-13.775 Y=-1.877 Z=175.077
X=-13.775 Y=-1.877 Z=175.077
X=-19.542 Y=-2.725 Z=175.218
X=-19.542 Y=-2.725 Z=175.218
X=-27.110 Y=-5.840 Z=176.284
X=-30.235 Y=-9.068 Z=175.991
X=-30.235 Y=-9.068 Z=175.991
X=-28.575 Y=-7.515 Z=176.200
X=-28.575 Y=-7.515 Z=176.200
X=-22.011 Y=-2.940 Z=177.230
X=-15.612 Y=-3.996 Z=177.007
X=-15.612 Y=-3.996 Z=177.007
X=-13.904 Y=-6.000 Z=176.882
X=-13.904 Y=-6.000 Z=176.882
X=-16.555 Y=-5.383 Z=176.766
X=-26.866 Y=-6.256 Z=176.475
X=-26.866 Y=-6.256 Z=176.475
X=-33.233 Y=-13.400 Z=176.329
