X=71.639 Y=341.685 Z=165.830
X=74.156 Y=341.936 Z=166.473
X=78.989 Y=342.730 Z=167.696
X=86.926 Y=343.728 Z=167.865
X=98.734 Y=346.440 Z=166.133
X=109.235 Y=349.542 Z=164.425
X=117.368 Y=351.467 Z=163.949
X=123.463 Y=351.675 Z=163.544
X=130.380 Y=349.744 Z=163.364
X=138.010 Y=345.252 Z=162.445
X=145.166 Y=340.865 Z=162.432
X=149.850 Y=339.157 Z=165.401
X=152.756 Y=338.720 Z=171.546
X=153.543 Y=340.652 Z=173.760
X=153.320 Y=344.298 Z=174.716
X=153.431 Y=347.540 Z=175.830
X=152.641 Y=348.310 Z=175.696
X=151.066 Y=348.042 Z=175.554
X=149.540 Y=347.083 Z=174.573
X=147.877 Y=346.131 Z=169.786
X=147.520 Y=346.088 Z=166.772
X=148.082 Y=345.226 Z=166.682
X=149.572 Y=343.155 Z=167.006
X=150.421 Y=342.332 Z=168.332
X=151.314 Y=343.630 Z=172.164
X=152.232 Y=346.003 Z=174.802
X=152.404 Y=348.025 Z=175.810
X=152.330 Y=349.106 Z=175.859
X=152.214 Y=348.951 Z=176.049
X=152.140 Y=345.359 Z=175.917
X=152.296 Y=339.343 Z=175.810
X=152.440 Y=334.468 Z=175.822
X=152.542 Y=332.244 Z=175.995
X=152.542 Y=332.342 Z=176.370
X=152.578 Y=333.685 Z=176.286
X=152.392 Y=335.065 Z=176.232
X=152.558 Y=336.050 Z=176.309
X=152.579 Y=336.681 Z=176.323
X=150.728 Y=337.024 Z=175.053
X=147.891 Y=336.965 Z=169.592
X=146.532 Y=336.329 Z=167.931
X=146.114 Y=336.306 Z=166.892
X=146.558 Y=336.710 Z=166.887
X=146.896 Y=337.165 Z=169.054
X=148.444 Y=337.633 Z=174.771
X=149.468 Y=336.605 Z=176.361
X=149.747 Y=335.993 Z=176.331
X=149.638 Y=335.797 Z=176.219
X=149.540 Y=336.192 Z=175.954
X=149.725 Y=336.548 Z=175.995
X=150.145 Y=336.726 Z=175.899
X=150.590 Y=336.862 Z=175.842
X=150.498 Y=336.851 Z=175.915
X=150.199 Y=336.923 Z=175.855
X=149.899 Y=336.837 Z=175.816
X=149.897 Y=336.810 Z=175.788
X=150.070 Y=336.800 Z=175.714
X=149.921 Y=336.768 Z=175.761
X=150.007 Y=336.814 Z=175.895
X=150.089 Y=336.885 Z=175.904
X=150.404 Y=337.330 Z=175.829
X=150.640 Y=337.636 Z=175.790
X=150.835 Y=337.899 Z=175.794
X=150.870 Y=337.992 Z=175.781
X=151.215 Y=338.104 Z=175.789
X=151.646 Y=338.195 Z=175.770
X=151.942 Y=338.185 Z=175.769
X=152.146 Y=338.144 Z=175.805
X=152.173 Y=338.085 Z=175.858
X=152.270 Y=338.016 Z=175.883
X=152.354 Y=337.956 Z=175.904
X=152.495 Y=337.981 Z=175.903
X=152.374 Y=337.910 Z=175.940
X=151.748 Y=337.872 Z=175.841
X=150.903 Y=337.782 Z=175.769
X=150.257 Y=337.925 Z=175.521
X=149.456 Y=337.964 Z=175.462
X=148.231 Y=337.547 Z=175.185
X=146.872 Y=335.077 Z=173.487
X=147.207 Y=331.975 Z=170.547
X=150.114 Y=332.877 Z=169.326
X=150.654 Y=335.894 Z=168.524
X=150.811 Y=337.567 Z=168.470
X=151.026 Y=337.613 Z=168.386
X=151.334 Y=336.671 Z=168.328
X=151.713 Y=335.152 Z=168.353
X=152.292 Y=333.599 Z=168.327
X=153.178 Y=332.601 Z=168.317
X=153.764 Y=332.098 Z=168.220
X=154.497 Y=331.601 Z=168.222
X=154.586 Y=331.271 Z=168.158
X=154.542 Y=331.068 Z=168.124
X=154.565 Y=330.427 Z=167.907
X=154.580 Y=330.031 Z=167.827
X=154.535 Y=329.947 Z=167.806
X=154.604 Y=329.860 Z=167.744
X=154.639 Y=329.789 Z=167.825
X=154.358 Y=329.773 Z=167.827
X=154.156 Y=329.790 Z=167.827
X=153.971 Y=329.858 Z=167.875
X=153.805 Y=330.156 Z=167.873
X=153.736 Y=330.338 Z=167.901
X=153.736 Y=330.444 Z=167.972
X=153.956 Y=330.491 Z=168.003
X=154.233 Y=330.525 Z=168.061
X=154.267 Y=330.537 Z=168.080
X=154.502 Y=330.563 Z=168.105
X=216.774 Y=-45.953 Z=168.215
X=216.922 Y=-45.873 Z=168.253
X=215.294 Y=-45.132 Z=168.654
X=212.593 Y=-42.719 Z=168.931
X=211.002 Y=-40.869 Z=168.351
X=210.361 Y=-39.319 Z=167.072
X=210.676 Y=-38.821 Z=166.068
X=211.793 Y=-39.532 Z=163.486
